,LAW_CAT_CD,OFNS_DESC,YEAR,CMPLNT_NUM
167,FELONY,INTOXICATED/IMPAIRED DRIVING,2010.0,8
168,FELONY,INTOXICATED/IMPAIRED DRIVING,2011.0,5
169,FELONY,INTOXICATED/IMPAIRED DRIVING,2012.0,5
170,FELONY,INTOXICATED/IMPAIRED DRIVING,2013.0,5
171,FELONY,INTOXICATED/IMPAIRED DRIVING,2014.0,12
172,FELONY,INTOXICATED/IMPAIRED DRIVING,2015.0,5
173,FELONY,INTOXICATED/IMPAIRED DRIVING,2016.0,1
174,FELONY,INTOXICATED/IMPAIRED DRIVING,2017.0,1
175,FELONY,KIDNAPPING,2014.0,1
176,FELONY,KIDNAPPING,2015.0,1
177,FELONY,KIDNAPPING,2016.0,7
178,FELONY,KIDNAPPING,2017.0,12
179,FELONY,KIDNAPPING & RELATED OFFENSES,2006.0,313
180,FELONY,KIDNAPPING & RELATED OFFENSES,2007.0,296
181,FELONY,KIDNAPPING & RELATED OFFENSES,2008.0,303
182,FELONY,KIDNAPPING & RELATED OFFENSES,2009.0,257
183,FELONY,KIDNAPPING & RELATED OFFENSES,2010.0,243
184,FELONY,KIDNAPPING & RELATED OFFENSES,2011.0,202
185,FELONY,KIDNAPPING & RELATED OFFENSES,2012.0,200
186,FELONY,KIDNAPPING & RELATED OFFENSES,2013.0,176
187,FELONY,KIDNAPPING & RELATED OFFENSES,2014.0,168
188,FELONY,KIDNAPPING & RELATED OFFENSES,2015.0,139
189,FELONY,KIDNAPPING & RELATED OFFENSES,2016.0,134
190,FELONY,KIDNAPPING & RELATED OFFENSES,2017.0,128
191,FELONY,KIDNAPPING AND RELATED OFFENSES,2012.0,1
192,FELONY,KIDNAPPING AND RELATED OFFENSES,2015.0,1
193,FELONY,MISCELLANEOUS PENAL LAW,2006.0,9440
194,FELONY,MISCELLANEOUS PENAL LAW,2007.0,9876
195,FELONY,MISCELLANEOUS PENAL LAW,2008.0,10354
196,FELONY,MISCELLANEOUS PENAL LAW,2009.0,10749
197,FELONY,MISCELLANEOUS PENAL LAW,2010.0,10493
198,FELONY,MISCELLANEOUS PENAL LAW,2011.0,10576
199,FELONY,MISCELLANEOUS PENAL LAW,2012.0,11187
200,FELONY,MISCELLANEOUS PENAL LAW,2013.0,12179
201,FELONY,MISCELLANEOUS PENAL LAW,2014.0,12930
202,FELONY,MISCELLANEOUS PENAL LAW,2015.0,12698
203,FELONY,MISCELLANEOUS PENAL LAW,2016.0,13080
204,FELONY,MISCELLANEOUS PENAL LAW,2017.0,12355
205,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,2006.0,567
206,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,2007.0,485
207,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,2008.0,515
208,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,2009.0,456
209,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,2010.0,531
210,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,2011.0,494
211,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,2012.0,413
212,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,2013.0,321
213,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,2014.0,332
214,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,2015.0,345
215,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,2016.0,326
216,FELONY,MURDER & NON-NEGL. MANSLAUGHTER,2017.0,267
217,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2006.0,339
218,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2007.0,393
219,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2008.0,406
220,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2009.0,436
221,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2010.0,372
222,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2011.0,311
223,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2012.0,335
224,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2013.0,340
225,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2014.0,484
226,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2015.0,520
227,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2016.0,567
228,FELONY,NYS LAWS-UNCLASSIFIED FELONY,2017.0,587
229,FELONY,OTHER STATE LAWS (NON PENAL LA,2017.0,39
230,FELONY,POSSESSION OF STOLEN PROPERTY,2006.0,1161
231,FELONY,POSSESSION OF STOLEN PROPERTY,2007.0,1075
232,FELONY,POSSESSION OF STOLEN PROPERTY,2008.0,1009
233,FELONY,POSSESSION OF STOLEN PROPERTY,2009.0,822
234,FELONY,POSSESSION OF STOLEN PROPERTY,2010.0,857
235,FELONY,POSSESSION OF STOLEN PROPERTY,2011.0,812
236,FELONY,POSSESSION OF STOLEN PROPERTY,2012.0,721
237,FELONY,POSSESSION OF STOLEN PROPERTY,2013.0,680
238,FELONY,POSSESSION OF STOLEN PROPERTY,2014.0,1057
239,FELONY,POSSESSION OF STOLEN PROPERTY,2015.0,899
240,FELONY,POSSESSION OF STOLEN PROPERTY,2016.0,766
241,FELONY,POSSESSION OF STOLEN PROPERTY,2017.0,1011
242,FELONY,PROSTITUTION & RELATED OFFENSES,2006.0,13
243,FELONY,PROSTITUTION & RELATED OFFENSES,2007.0,16
244,FELONY,PROSTITUTION & RELATED OFFENSES,2008.0,23
245,FELONY,PROSTITUTION & RELATED OFFENSES,2009.0,10
246,FELONY,PROSTITUTION & RELATED OFFENSES,2010.0,13
247,FELONY,PROSTITUTION & RELATED OFFENSES,2011.0,14
248,FELONY,PROSTITUTION & RELATED OFFENSES,2012.0,5
249,FELONY,PROSTITUTION & RELATED OFFENSES,2013.0,8
250,FELONY,PROSTITUTION & RELATED OFFENSES,2014.0,12
251,FELONY,PROSTITUTION & RELATED OFFENSES,2015.0,13
252,FELONY,PROSTITUTION & RELATED OFFENSES,2016.0,13
253,FELONY,PROSTITUTION & RELATED OFFENSES,2017.0,18
254,FELONY,RAPE,2006.0,1539
255,FELONY,RAPE,2007.0,1276
256,FELONY,RAPE,2008.0,1265
257,FELONY,RAPE,2009.0,1190
258,FELONY,RAPE,2010.0,1378
259,FELONY,RAPE,2011.0,1407
260,FELONY,RAPE,2012.0,1394
261,FELONY,RAPE,2013.0,1337
262,FELONY,RAPE,2014.0,1258
263,FELONY,RAPE,2015.0,1333
264,FELONY,RAPE,2016.0,1267
265,FELONY,RAPE,2017.0,1160
266,FELONY,ROBBERY,2006.0,23708
267,FELONY,ROBBERY,2007.0,21779
268,FELONY,ROBBERY,2008.0,22376
269,FELONY,ROBBERY,2009.0,18594
270,FELONY,ROBBERY,2010.0,19598
271,FELONY,ROBBERY,2011.0,19777
272,FELONY,ROBBERY,2012.0,20173
273,FELONY,ROBBERY,2013.0,19125
274,FELONY,ROBBERY,2014.0,16573
275,FELONY,ROBBERY,2015.0,16952
276,FELONY,ROBBERY,2016.0,15483
277,FELONY,ROBBERY,2017.0,13918
278,FELONY,SEX CRIMES,2006.0,1155
279,FELONY,SEX CRIMES,2007.0,998
280,FELONY,SEX CRIMES,2008.0,936
281,FELONY,SEX CRIMES,2009.0,910
282,FELONY,SEX CRIMES,2010.0,1060
283,FELONY,SEX CRIMES,2011.0,1010
284,FELONY,SEX CRIMES,2012.0,1224
285,FELONY,SEX CRIMES,2013.0,1039
286,FELONY,SEX CRIMES,2014.0,1007
287,FELONY,SEX CRIMES,2015.0,1019
288,FELONY,SEX CRIMES,2016.0,1094
289,FELONY,SEX CRIMES,2017.0,987
290,FELONY,THEFT-FRAUD,2006.0,5829
291,FELONY,THEFT-FRAUD,2007.0,6098
292,FELONY,THEFT-FRAUD,2008.0,6684
293,FELONY,THEFT-FRAUD,2009.0,5080
294,FELONY,THEFT-FRAUD,2010.0,5111
295,FELONY,THEFT-FRAUD,2011.0,5618
296,FELONY,THEFT-FRAUD,2012.0,6123
297,FELONY,THEFT-FRAUD,2013.0,4970
298,FELONY,THEFT-FRAUD,2014.0,4634
299,FELONY,THEFT-FRAUD,2015.0,4902
300,FELONY,THEFT-FRAUD,2016.0,4438
301,FELONY,THEFT-FRAUD,2017.0,3807
302,MISDEMEANOR,ADMINISTRATIVE CODE,2006.0,1011
303,MISDEMEANOR,ADMINISTRATIVE CODE,2007.0,938
304,MISDEMEANOR,ADMINISTRATIVE CODE,2008.0,997
305,MISDEMEANOR,ADMINISTRATIVE CODE,2009.0,1008
306,MISDEMEANOR,ADMINISTRATIVE CODE,2010.0,975
307,MISDEMEANOR,ADMINISTRATIVE CODE,2011.0,982
308,MISDEMEANOR,ADMINISTRATIVE CODE,2012.0,1008
309,MISDEMEANOR,ADMINISTRATIVE CODE,2013.0,1018
310,MISDEMEANOR,ADMINISTRATIVE CODE,2014.0,1017
311,MISDEMEANOR,ADMINISTRATIVE CODE,2015.0,974
312,MISDEMEANOR,ADMINISTRATIVE CODE,2016.0,944
313,MISDEMEANOR,ADMINISTRATIVE CODE,2017.0,815
314,MISDEMEANOR,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,2015.0,86
315,MISDEMEANOR,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,2016.0,141
316,MISDEMEANOR,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,2017.0,120
317,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW,2006.0,76
318,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW,2007.0,77
319,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW,2008.0,58
320,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW,2009.0,71
321,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW,2010.0,86
322,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW,2011.0,79
323,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW,2012.0,92
324,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW,2013.0,64
325,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW,2014.0,69
326,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW,2015.0,78
327,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW,2016.0,96
328,MISDEMEANOR,ALCOHOLIC BEVERAGE CONTROL LAW,2017.0,148
329,MISDEMEANOR,ANTICIPATORY OFFENSES,2006.0,15
330,MISDEMEANOR,ANTICIPATORY OFFENSES,2007.0,13
331,MISDEMEANOR,ANTICIPATORY OFFENSES,2008.0,14
332,MISDEMEANOR,ANTICIPATORY OFFENSES,2009.0,11
333,MISDEMEANOR,ANTICIPATORY OFFENSES,2010.0,10
334,MISDEMEANOR,ANTICIPATORY OFFENSES,2011.0,9
335,MISDEMEANOR,ANTICIPATORY OFFENSES,2012.0,8
336,MISDEMEANOR,ANTICIPATORY OFFENSES,2013.0,8
337,MISDEMEANOR,ANTICIPATORY OFFENSES,2014.0,5
338,MISDEMEANOR,ANTICIPATORY OFFENSES,2015.0,2
339,MISDEMEANOR,ANTICIPATORY OFFENSES,2016.0,2
340,MISDEMEANOR,ANTICIPATORY OFFENSES,2017.0,5
341,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2006.0,52084
342,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2007.0,51343
343,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2008.0,50231
344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2009.0,50164
345,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2010.0,52662
346,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2011.0,50863
347,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2012.0,54497
348,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2013.0,53542
349,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,2014.0,53785
